name,island,listed_location,provider_url,watch_url,embed_url,thumbnail_url,type,http_status,http_error,coverage_status,embed_permission,live_playback,possible_overlap
Kohanaiki Web Camera,Hawaii Island,Pine Trees,https://www.youtube.com/@kohanaikihawaii3092/streams,https://www.youtube.com/watch?v=Sb6v9lXIDjc,https://www.youtube.com/embed/Sb6v9lXIDjc?autoplay=1&mute=1,https://i.ytimg.com/vi/Sb6v9lXIDjc/hqdefault_live.jpg,youtube,200,,directory-listed; exact beach mapping unverified,unverified,unverified,[]
KONAWEB (Hulihee Palace),Hawaii Island,Hulihee Palace,https://www.konaweb.com/cam/index.html,,,,external,200,,directory-listed; exact beach mapping unverified,unverified,unverified,[]
Mauna Kea Beach Hotel (Hapuna),Hawaii Island,Hapuna,https://marriott.ozolio.com/mauna-kea-beach-hotel/,,,,external,200,,directory-listed; exact beach mapping unverified,unverified,unverified,[]
The Surfers View (Turtle Bay),Oahu,Turtle Bay,https://thesurfersview.com/live-cams/hawaii/turtle-bay-beach-cam-west-and-surf-report/,,,,external,200,,directory-listed; exact beach mapping unverified,unverified,unverified,[]
Explore Annenberg LLC (Waimea Bay/Pinballs),Oahu,Waimea Bay/Pinballs,https://explore.org/livecams/hawaii/hawaii-waimea-bay-cam/,,,,external,200,,directory-listed; exact beach mapping unverified,unverified,unverified,[]
"LIVE Banzai Pipeline Surf Cam: North Shore, Oahu - Hawaii | explore.org",Oahu,Banzai Pipeline and Backdoor,https://www.youtube.com/@ExploreBigSurfandBeaches,https://www.youtube.com/watch?v=Fp7l8XASb9Y,https://www.youtube.com/embed/Fp7l8XASb9Y?autoplay=1&mute=1,https://i.ytimg.com/vi/Fp7l8XASb9Y/hqdefault_live.jpg,youtube,200,,directory-listed; exact beach mapping unverified,unverified,unverified,[]
Explore Annenberg LLC (Ehukai/Gums),Oahu,Ehukai/Gums,https://explore.org/livecams/hawaii/hawaii-pipeline-cam/,,,,external,200,,directory-listed; exact beach mapping unverified,unverified,unverified,[]
Webcamtaxi (Ala Moana Courts),Oahu,Ala Moana Courts,https://www.webcamtaxi.com/en/usa/hawaii/honolulu-island-of-oahu.html/,,,,external,,HTTP Error 403: Forbidden,directory-listed; exact beach mapping unverified,unverified,unverified,[]
CamGuide (Reef Runway (Hickam Harbor)),Oahu,Hickam Harbor,https://camguide.net/usa/hawaii/honolulu/beach/,,,,external,200,,directory-listed; exact beach mapping unverified,unverified,unverified,[]
Ward Village (Ala Moana Bowls),Oahu,Ala Moana Bowls,https://www.wardvillage.com/surf-cam/,,,,external,,HTTP Error 403: Forbidden,directory-listed; exact beach mapping unverified,unverified,unverified,[]
Hilton Hotel Waikiki (Waikiki),Oahu,Waikiki,https://www.hiltonwaikikibeach.com/surf-cam/,,,,external,,HTTP Error 403: Forbidden,directory-listed; exact beach mapping unverified,unverified,unverified,[]
Sheraton Waikiki (Waikiki),Oahu,Waikiki,https://marriott.ozolio.com/sheraton-waikiki/,,,,external,200,,directory-listed; exact beach mapping unverified,unverified,unverified,[]
Waikiki Aquarium (Waikiki),Oahu,Waikiki,https://www.youtube.com/@WaikikiAquariumHonolulu/streams,,,,external,200,,directory-listed; exact beach mapping unverified,unverified,unverified,['South Shore Surf Cam']
