#options: 720x1566 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=16 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=270 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:48.18 aq:33.55 tex:79942 mv:30324 misc:6118 imb:4410 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:50.10 aq:39.74 tex:84 mv:7 misc:293 imb:0 pmb:4 smb:4406 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:50.10 aq:40.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:50.10 aq:41.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:50.10 aq:41.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:49.67 aq:34.15 tex:56 mv:16 misc:296 imb:1 pmb:2 smb:4407 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:49.89 aq:39.00 tex:0 mv:0 misc:272 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:50.00 aq:41.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:49.78 aq:41.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:49.21 aq:40.78 tex:99 mv:17 misc:324 imb:0 pmb:7 smb:4403 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:49.44 aq:39.00 tex:0 mv:0 misc:272 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:49.56 aq:40.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:49.33 aq:40.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:48.73 aq:35.67 tex:76 mv:9 misc:299 imb:0 pmb:4 smb:4406 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:48.97 aq:38.00 tex:0 mv:0 misc:272 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:49.09 aq:40.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:48.85 aq:40.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:52.73 aq:42.00 tex:0 mv:0 misc:264 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:50.73 aq:40.00 tex:0 mv:0 misc:272 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:49.73 aq:41.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:51.73 aq:43.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:53.25 aq:45.00 tex:0 mv:0 misc:264 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:52.99 aq:44.00 tex:0 mv:0 misc:272 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:52.86 aq:45.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:53.12 aq:45.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:28 out:25 type:P dur:2 cpbdur:2 q:48.77 aq:33.35 tex:379 mv:566 misc:655 imb:19 pmb:61 smb:4330 d:- ref:0 ;
in:26 out:26 type:B dur:2 cpbdur:2 q:51.01 aq:40.00 tex:0 mv:0 misc:272 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:25 out:27 type:b dur:2 cpbdur:2 q:52.13 aq:44.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:49.89 aq:40.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:32 out:29 type:P dur:2 cpbdur:2 q:45.57 aq:33.84 tex:6352 mv:2005 misc:1931 imb:109 pmb:300 smb:4001 d:- ref:0 ;
in:30 out:30 type:B dur:2 cpbdur:2 q:47.17 aq:41.10 tex:38 mv:125 misc:373 imb:1 pmb:18 smb:4391 d:s ref:0 ;
in:29 out:31 type:b dur:2 cpbdur:2 q:47.97 aq:38.00 tex:6 mv:30 misc:316 imb:1 pmb:8 smb:4401 d:s ref:0 ;
in:31 out:32 type:b dur:2 cpbdur:2 q:46.37 aq:35.14 tex:12 mv:28 misc:272 imb:2 pmb:1 smb:4407 d:- ref:0 ;
in:36 out:33 type:P dur:2 cpbdur:2 q:43.11 aq:31.06 tex:33683 mv:5539 misc:3130 imb:331 pmb:1042 smb:3037 d:- ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:44.34 aq:35.28 tex:51 mv:100 misc:361 imb:1 pmb:17 smb:4392 d:s ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:44.95 aq:34.00 tex:8 mv:60 misc:316 imb:2 pmb:10 smb:4398 d:s ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:43.72 aq:33.00 tex:3 mv:38 misc:271 imb:1 pmb:3 smb:4406 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:41.26 aq:28.50 tex:40792 mv:6185 misc:3319 imb:691 pmb:1200 smb:2519 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:42.18 aq:32.42 tex:84 mv:109 misc:351 imb:2 pmb:16 smb:4392 d:t ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:42.65 aq:40.15 tex:36 mv:18 misc:274 imb:0 pmb:3 smb:4407 d:s ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:41.72 aq:31.00 tex:4 mv:58 misc:298 imb:0 pmb:11 smb:4399 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:39.72 aq:28.15 tex:45461 mv:4472 misc:3187 imb:240 pmb:1114 smb:3056 d:- ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:40.49 aq:36.60 tex:151 mv:213 misc:396 imb:2 pmb:27 smb:4381 d:t ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:40.87 aq:30.00 tex:1 mv:119 misc:344 imb:0 pmb:19 smb:4391 d:s ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:40.10 aq:29.00 tex:7 mv:103 misc:306 imb:3 pmb:8 smb:4399 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:38.88 aq:28.32 tex:32496 mv:3552 misc:3056 imb:122 pmb:922 smb:3366 d:s ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:39.30 aq:33.33 tex:87 mv:412 misc:517 imb:3 pmb:57 smb:4350 d:t ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:39.51 aq:29.00 tex:1 mv:9 misc:254 imb:0 pmb:1 smb:4409 d:s ref:0 ;
