#options: 720x1566 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=16 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=220 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:49.96 aq:36.08 tex:105016 mv:31943 misc:6121 imb:4410 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:51.94 aq:38.89 tex:93 mv:12 misc:311 imb:0 pmb:6 smb:4404 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:51.94 aq:37.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:51.94 aq:38.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:51.94 aq:38.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:51.51 aq:43.24 tex:60 mv:6 misc:294 imb:0 pmb:3 smb:4407 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:51.73 aq:36.00 tex:0 mv:0 misc:272 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:51.84 aq:38.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:51.62 aq:37.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:51.06 aq:40.82 tex:128 mv:42 misc:358 imb:1 pmb:10 smb:4399 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:51.28 aq:35.00 tex:0 mv:0 misc:272 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:51.40 aq:37.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:51.17 aq:36.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:50.57 aq:34.38 tex:156 mv:55 misc:357 imb:2 pmb:8 smb:4400 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:50.81 aq:35.00 tex:0 mv:0 misc:272 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:50.93 aq:36.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:50.69 aq:36.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:54.57 aq:48.63 tex:28 mv:2 misc:274 imb:0 pmb:1 smb:4409 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:52.57 aq:38.00 tex:0 mv:0 misc:272 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:51.57 aq:37.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:53.57 aq:41.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:58.57 aq:48.00 tex:0 mv:0 misc:264 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:56.57 aq:45.00 tex:0 mv:0 misc:272 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:55.57 aq:44.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:57.57 aq:48.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:27 out:25 type:P dur:2 cpbdur:2 q:55.05 aq:39.62 tex:20 mv:57 misc:331 imb:9 pmb:0 smb:4401 d:- ref:0 ;
in:25 out:26 type:B dur:2 cpbdur:2 q:57.40 aq:47.00 tex:0 mv:0 misc:272 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:26 out:27 type:b dur:2 cpbdur:2 q:56.23 aq:46.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:29 out:28 type:P dur:2 cpbdur:2 q:52.60 aq:38.50 tex:583 mv:272 misc:585 imb:45 pmb:5 smb:4360 d:- ref:0 ;
in:28 out:29 type:b dur:2 cpbdur:2 q:53.82 aq:41.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:33 out:30 type:P dur:2 cpbdur:2 q:51.20 aq:34.29 tex:535 mv:286 misc:619 imb:43 pmb:14 smb:4353 d:- ref:0 ;
in:31 out:31 type:B dur:2 cpbdur:2 q:51.90 aq:36.00 tex:3 mv:14 misc:287 imb:1 pmb:1 smb:4408 d:- ref:0 ;
in:30 out:32 type:b dur:2 cpbdur:2 q:52.25 aq:38.00 tex:0 mv:3 misc:261 imb:0 pmb:1 smb:4409 d:s ref:0 ;
in:32 out:33 type:b dur:2 cpbdur:2 q:51.55 aq:37.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:37 out:34 type:P dur:2 cpbdur:2 q:48.81 aq:36.80 tex:3504 mv:1145 misc:1527 imb:176 pmb:131 smb:4103 d:- ref:0 ;
in:35 out:35 type:B dur:2 cpbdur:2 q:50.00 aq:34.00 tex:1 mv:5 misc:290 imb:0 pmb:2 smb:4408 d:- ref:0 ;
in:34 out:36 type:b dur:2 cpbdur:2 q:50.60 aq:36.00 tex:0 mv:5 misc:275 imb:0 pmb:2 smb:4408 d:s ref:0 ;
in:36 out:37 type:b dur:2 cpbdur:2 q:49.41 aq:36.00 tex:33 mv:5 misc:266 imb:0 pmb:1 smb:4409 d:- ref:0 ;
