name,region,country,lat,lng,ndbc_buoy_ids,forecast_source_id,camera_url,alt_names,slug,geocode_query
Waikiki – Queens/Canoes,Hawaii,USA,,,,,,Canoes;Queens,waikiki-queens-canoes,"Waikiki – Queens/Canoes, Honolulu, USA"
Doheny,California,USA,,,,,,,doheny,"Doheny, Dana Point, USA"
Huntington Beach Pier,California,USA,,,,,,,huntington-beach-pier,"Huntington Beach Pier, Huntington Beach, USA"
La Jolla Shores,California,USA,,,,,,,la-jolla-shores,"La Jolla Shores, La Jolla, USA"
Malibu First Point (Surfrider),California,USA,,,,,,Surfrider,malibu-first-point,"Malibu First Point (Surfrider), Malibu, USA"
Old Man's (SanO),California,USA,,,,,,SanO,old-man-s,"Old Man's (SanO), San Onofre, USA"
Tourmaline,California,USA,,,,,,,tourmaline,"Tourmaline, Pacific Beach, USA"
Beacons,California,USA,,,,,,,beacons,"Beacons, Leucadia, USA"
Blacks,California,USA,,,,,,,blacks,"Blacks, La Jolla, USA"
Bolsa Chica,California,USA,,,,,,,bolsa-chica,"Bolsa Chica, Huntington Beach, USA"
Cardiff Reef,California,USA,,,,,,,cardiff-reef,"Cardiff Reef, Cardiff, USA"
Church,California,USA,,,,,,,church,"Church, San Onofre, USA"
County Line,California,USA,,,,,,,county-line,"County Line, LA/Ventura border, USA"
D Street,California,USA,,,,,,,d-street,"D Street, Encinitas, USA"
El Porto (Manhattan),California,USA,,,,,,Manhattan,el-porto,"El Porto (Manhattan), Manhattan Beach, USA"
Hermosa Pier,California,USA,,,,,,,hermosa-pier,"Hermosa Pier, Hermosa Beach, USA"
Imperial Beach,California,USA,,,,,,,imperial-beach,"Imperial Beach, South Bay, USA"
Leo Carrillo,California,USA,,,,,,,leo-carrillo,"Leo Carrillo, Malibu, USA"
Lower Trestles,California,USA,,,,,,,lower-trestles,"Lower Trestles, San Onofre, USA"
Mission Beach,California,USA,,,,,,,mission-beach,"Mission Beach, San Diego, USA"
Newport 56th St,California,USA,,,,,,,newport-56th-st,"Newport 56th St, Newport Beach, USA"
Ocean Beach (SD),California,USA,,,,,,SD,ocean-beach,"Ocean Beach (SD), San Diego, USA"
Oceanside Pier,California,USA,,,,,,,oceanside-pier,"Oceanside Pier, Oceanside, USA"
Pacific Beach,California,USA,,,,,,,pacific-beach,"Pacific Beach, San Diego, USA"
Pipes,California,USA,,,,,,,pipes,"Pipes, San Elijo, USA"
Ponto,California,USA,,,,,,,ponto,"Ponto, Carlsbad/Leucadia, USA"
San Clemente Pier,California,USA,,,,,,,san-clemente-pier,"San Clemente Pier, San Clemente, USA"
Swami's,California,USA,,,,,,,swami-s,"Swami's, Encinitas, USA"
Tamarack (Carlsbad),California,USA,,,,,,Carlsbad,tamarack,"Tamarack (Carlsbad), Carlsbad, USA"
Topanga,California,USA,,,,,,,topanga,"Topanga, Topanga, USA"
Venice Breakwater,California,USA,,,,,,,venice-breakwater,"Venice Breakwater, Venice, USA"
Zuma Beach,California,USA,,,,,,,zuma-beach,"Zuma Beach, Malibu, USA"
Diamond Head Lighthouse,Hawaii,USA,,,,,,,diamond-head-lighthouse,"Diamond Head Lighthouse, Honolulu, USA"
Kaisers,Hawaii,USA,,,,,,,kaisers,"Kaisers, Honolulu, USA"
Kewalos,Hawaii,USA,,,,,,,kewalos,"Kewalos, Honolulu, USA"
Canggu (Echo Beach),Travel,—,,,,,,Echo Beach,canggu,"Canggu (Echo Beach), Bali, —"
Kuta Beach,Travel,—,,,,,,,kuta-beach,"Kuta Beach, Bali, —"
Bolinas,California,USA,,,,,,,bolinas,"Bolinas, Marin, USA"
Campus Point,California,USA,,,,,,,campus-point,"Campus Point, Goleta, USA"
Capitola,California,USA,,,,,,,capitola,"Capitola, Capitola, USA"
Leadbetter,California,USA,,,,,,,leadbetter,"Leadbetter, Santa Barbara, USA"
Ocean Beach (SF),California,USA,,,,,,SF,ocean-beach-san-francisco,"Ocean Beach (SF), San Francisco, USA"
Rincon,California,USA,,,,,,,rincon,"Rincon, Carpinteria, USA"
Salt Creek,California,USA,,,,,,,salt-creek,"Salt Creek, Dana Point, USA"
Steamer Lane,California,USA,,,,,,,steamer-lane,"Steamer Lane, Santa Cruz, USA"
Sunset Cliffs,California,USA,,,,,,,sunset-cliffs,"Sunset Cliffs, Point Loma, USA"
The Wedge,California,USA,,,,,,,the-wedge,"The Wedge, Newport Beach, USA"
Windansea,California,USA,,,,,,,windansea,"Windansea, La Jolla, USA"
Ala Moana Bowls,Hawaii,USA,,,,,,,ala-moana-bowls,"Ala Moana Bowls, Honolulu, USA"
Banzai Pipeline (Ehukai),Hawaii,USA,,,,,,Ehukai,banzai-pipeline,"Banzai Pipeline (Ehukai), North Shore, USA"
Hanalei Bay,Hawaii,USA,,,,,,,hanalei-bay,"Hanalei Bay, North Shore, USA"
Sunset Beach,Hawaii,USA,,,,,,,sunset-beach,"Sunset Beach, North Shore, USA"
Waimea Bay,Hawaii,USA,,,,,,,waimea-bay,"Waimea Bay, North Shore, USA"
Nosara (Playa Guiones),Travel,—,,,,,,Playa Guiones,nosara,"Nosara (Playa Guiones), Guanacaste, —"
Padang Padang,Travel,—,,,,,,,padang-padang,"Padang Padang, Bali, —"
Rincon (Domes/Maria’s),Travel,—,,,,,,Domes;Maria’s,rincon-rincon,"Rincon (Domes/Maria’s), Rincon, —"
Santa Teresa,Travel,—,,,,,,,santa-teresa,"Santa Teresa, Nicoya Peninsula, —"
Sayulita,Travel,—,,,,,,,sayulita,"Sayulita, Nayarit, —"
Scorpion Bay (San Juanico),Travel,—,,,,,,San Juanico,scorpion-bay,"Scorpion Bay (San Juanico), Baja Sur, —"
Tamarindo,Travel,—,,,,,,,tamarindo,"Tamarindo, Guanacaste, —"
Uluwatu,Travel,—,,,,,,,uluwatu,"Uluwatu, Bali, —"
26th Ave,California,USA,,,,,,,26th-ave,"26th Ave, Santa Cruz, USA"
C Street / Surfers Point,California,USA,,,,,,,c-street-surfers-point,"C Street / Surfers Point, Ventura, USA"
Davenport Landing,California,USA,,,,,,,davenport-landing,"Davenport Landing, Davenport, USA"
Emma Wood,California,USA,,,,,,,emma-wood,"Emma Wood, Ventura, USA"
Jalama,California,USA,,,,,,,jalama,"Jalama, Lompoc, USA"
Manresa,California,USA,,,,,,,manresa,"Manresa, Aptos, USA"
Mavericks,California,USA,,,,,,,mavericks,"Mavericks, Half Moon Bay, USA"
Moss Landing,California,USA,,,,,,,moss-landing,"Moss Landing, Moss Landing, USA"
Pacifica / Linda Mar,California,USA,,,,,,,pacifica-linda-mar,"Pacifica / Linda Mar, Pacifica, USA"
Pleasure Point,California,USA,,,,,,,pleasure-point,"Pleasure Point, Santa Cruz, USA"
Rockaway,California,USA,,,,,,,rockaway,"Rockaway, Pacifica, USA"
Sands/Devereux,California,USA,,,,,,,sands-devereux,"Sands/Devereux, Isla Vista, USA"
Silver Strand,California,USA,,,,,,,silver-strand,"Silver Strand, Oxnard, USA"
Stinson Beach,California,USA,,,,,,,stinson-beach,"Stinson Beach, Marin, USA"
The Hook,California,USA,,,,,,,the-hook,"The Hook, Santa Cruz, USA"
Ventura Point,California,USA,,,,,,,ventura-point,"Ventura Point, Ventura, USA"
Waddell Creek,California,USA,,,,,,,waddell-creek,"Waddell Creek, North of Santa Cruz, USA"
Chun’s Reef,Hawaii,USA,,,,,,,chun-s-reef,"Chun’s Reef, North Shore, USA"
Haleiwa,Hawaii,USA,,,,,,,haleiwa,"Haleiwa, North Shore, USA"
Honolua Bay,Hawaii,USA,,,,,,,honolua-bay,"Honolua Bay, West Maui, USA"
Lahaina Breakwall,Hawaii,USA,,,,,,,lahaina-breakwall,"Lahaina Breakwall, Lahaina, USA"
Laniakea,Hawaii,USA,,,,,,,laniakea,"Laniakea, North Shore, USA"
Makaha,Hawaii,USA,,,,,,,makaha,"Makaha, West Oahu, USA"
Olowalu,Hawaii,USA,,,,,,,olowalu,"Olowalu, West Maui, USA"
Poipu,Hawaii,USA,,,,,,,poipu,"Poipu, South Shore, USA"
Ukumehame,Hawaii,USA,,,,,,,ukumehame,"Ukumehame, West Maui, USA"
Seaside Cove,Oregon,USA,,,,,,,seaside-cove,"Seaside Cove, Seaside, USA"
Westport (Westhaven),Washington,USA,,,,,,Westhaven,westport,"Westport (Westhaven), Westport, USA"
Chicama,Travel,—,,,,,,,chicama,"Chicama, La Libertad, —"
Ericeira – Ribeira d’Ilhas,Travel,—,,,,,,Ribeira d’Ilhas,ericeira-ribeira-d-ilhas,"Ericeira – Ribeira d’Ilhas, Ericeira, —"
Hossegor (La Gravière),Travel,—,,,,,,La Gravière,hossegor,"Hossegor (La Gravière), Landes, —"
Mundaka,Travel,—,,,,,,,mundaka,"Mundaka, Basque Country, —"
Nazaré (Praia do Norte),Travel,—,,,,,,Praia do Norte,nazar,"Nazaré (Praia do Norte), Leiria, —"
Pavones,Travel,—,,,,,,,pavones,"Pavones, Golfo Dulce, —"
Peniche (Supertubos),Travel,—,,,,,,Supertubos,peniche,"Peniche (Supertubos), Peniche, —"
Puerto Escondido (Zicatela),Travel,—,,,,,,Zicatela,puerto-escondido,"Puerto Escondido (Zicatela), Oaxaca, —"
Punta Mita – El Anclote,Travel,—,,,,,,El Anclote,punta-mita-el-anclote,"Punta Mita – El Anclote, Nayarit, —"
El Capitan,California,USA,,,,,,,el-capitan,"El Capitan, Goleta, USA"
Fort Point,California,USA,,,,,,,fort-point,"Fort Point, Golden Gate, USA"
Seaside Cove,OR,USA,,,,NOAA_WW3,,,seaside-cove-or,"Seaside Cove, Seaside, OR"
Short Sands (Oswald West),OR,USA,,,,NOAA_WW3,,Oswald West,short-sands-or,"Short Sands (Oswald West), Arch Cape, OR"
Cannon Beach (Ecola/Indian),OR,USA,,,,NOAA_WW3,,Ecola;Indian,cannon-beach-or,"Cannon Beach (Ecola/Indian), Cannon Beach, OR"
Pacific City (Cape Kiwanda),OR,USA,,,,NOAA_WW3,,Cape Kiwanda,pacific-city-or,"Pacific City (Cape Kiwanda), Pacific City, OR"
Agate Beach,OR,USA,,,,NOAA_WW3,,,agate-beach-or,"Agate Beach, Newport, OR"
Florence South Jetty,OR,USA,,,,NOAA_WW3,,,florence-south-jetty-or,"Florence South Jetty, Florence, OR"
Bandon,OR,USA,,,,NOAA_WW3,,,bandon-or,"Bandon, Bandon, OR"
Humbug Mountain (Port Orford),OR,USA,,,,NOAA_WW3,,Port Orford,humbug-mountain-or,"Humbug Mountain (Port Orford), Port Orford, OR"
Gold Beach (South Jetty),OR,USA,,,,NOAA_WW3,,South Jetty,gold-beach-or,"Gold Beach (South Jetty), Gold Beach, OR"
Brookings (Harris Beach),OR,USA,,,,NOAA_WW3,,Harris Beach,brookings-or,"Brookings (Harris Beach), Brookings, OR"
Westport (Jetty),WA,USA,,,,NOAA_WW3,,Jetty,westport-wa,"Westport (Jetty), Westport, WA"
Ocean Shores,WA,USA,,,,NOAA_WW3,,,ocean-shores-wa,"Ocean Shores, Ocean Shores, WA"
La Push (First Beach),WA,USA,,,,NOAA_WW3,,First Beach,la-push-wa,"La Push (First Beach), La Push, WA"
La Push (Second Beach),WA,USA,,,,NOAA_WW3,,Second Beach,la-push-wa-2,"La Push (Second Beach), La Push, WA"
La Push (Third Beach),WA,USA,,,,NOAA_WW3,,Third Beach,la-push-wa-3,"La Push (Third Beach), La Push, WA"
Shi Shi Beach,WA,USA,,,,NOAA_WW3,,,shi-shi-beach-wa,"Shi Shi Beach, Neah Bay, WA"
Hobuck (Neah Bay),WA,USA,,,,NOAA_WW3,,Neah Bay,hobuck-wa,"Hobuck (Neah Bay), Neah Bay, WA"
Cape Disappointment (Waikiki Beach),WA,USA,,,,NOAA_WW3,,Waikiki Beach,cape-disappointment-wa,"Cape Disappointment (Waikiki Beach), Ilwaco, WA"
Long Beach,WA,USA,,,,NOAA_WW3,,,long-beach-wa,"Long Beach, Long Beach, WA"
Westhaven State Park,WA,USA,,,,NOAA_WW3,,,westhaven-state-park-wa,"Westhaven State Park, Westport, WA"
