name,region,country,lat,lng,ndbc_buoy_ids,forecast_source_id,camera_url,alt_names,slug,geocode_query
Waikiki – Queens/Canoes,Hawaii,USA,21.308499,-157.861535,,,,Canoes;Queens,waikiki-queens-canoes,"Waikiki – Queens/Canoes, Honolulu, USA"
Doheny,California,USA,33.466426,-117.702231,,,,,doheny,"Doheny, Dana Point, USA"
Huntington Beach Pier,California,USA,33.657168,-118.002005,,,,,huntington-beach-pier,"Huntington Beach Pier, Huntington Beach, USA"
La Jolla Shores,California,USA,32.853416,-117.253810,,,,,la-jolla-shores,"La Jolla Shores, La Jolla, USA"
Malibu First Point (Surfrider),California,USA,34.016533,-118.819150,,,,Surfrider,malibu-first-point,"Malibu First Point (Surfrider), Malibu, USA"
Old Man's (SanO),California,USA,33.381824,-117.575060,,,,SanO,old-man-s,"Old Man's (SanO), San Onofre, USA"
Tourmaline,California,USA,32.807566,-117.255527,,,,,tourmaline,"Tourmaline, Pacific Beach, USA"
Beacons,California,USA,33.064358,-117.302160,,,,,beacons,"Beacons, Leucadia, USA"
Blacks,California,USA,32.844230,-117.270881,,,,,blacks,"Blacks, La Jolla, USA"
Bolsa Chica,California,USA,33.732159,-118.041499,,,,,bolsa-chica,"Bolsa Chica, Huntington Beach, USA"
Cardiff Reef,California,USA,33.634520,-117.926890,,,,,cardiff-reef,"Cardiff Reef, Cardiff, USA"
Church,California,USA,33.381824,-117.575060,,,,,church,"Church, San Onofre, USA"
County Line,California,USA,34.280823,-119.294674,,,,,county-line,"County Line, LA/Ventura border, USA"
D Street,California,USA,33.046305,-117.290694,,,,,d-street,"D Street, Encinitas, USA"
El Porto (Manhattan),California,USA,33.900974,-118.417800,,,,Manhattan,el-porto,"El Porto (Manhattan), Manhattan Beach, USA"
Hermosa Pier,California,USA,33.864443,-118.396190,,,,,hermosa-pier,"Hermosa Pier, Hermosa Beach, USA"
Imperial Beach,California,USA,32.583792,-117.111310,,,,,imperial-beach,"Imperial Beach, South Bay, USA"
Leo Carrillo,California,USA,34.036880,-118.685610,,,,,leo-carrillo,"Leo Carrillo, Malibu, USA"
Lower Trestles,California,USA,33.381824,-117.575060,,,,,lower-trestles,"Lower Trestles, San Onofre, USA"
Mission Beach,California,USA,32.781986,-117.252520,,,,,mission-beach,"Mission Beach, San Diego, USA"
Newport 56th St,California,USA,33.612827,-117.929756,,,,,newport-56th-st,"Newport 56th St, Newport Beach, USA"
Ocean Beach (SD),California,USA,32.745810,-117.249344,,,,SD,ocean-beach,"Ocean Beach (SD), San Diego, USA"
Oceanside Pier,California,USA,33.194397,-117.384252,,,,,oceanside-pier,"Oceanside Pier, Oceanside, USA"
Pacific Beach,California,USA,32.797830,-117.240320,,,,,pacific-beach,"Pacific Beach, San Diego, USA"
Pipes,California,USA,33.031717,-117.207124,,,,,pipes,"Pipes, San Elijo, USA"
Ponto,California,USA,33.126488,-117.331250,,,,,ponto,"Ponto, Carlsbad/Leucadia, USA"
San Clemente Pier,California,USA,33.419625,-117.620090,,,,,san-clemente-pier,"San Clemente Pier, San Clemente, USA"
Swami's,California,USA,33.044522,-117.284092,,,,,swami-s,"Swami's, Encinitas, USA"
Tamarack (Carlsbad),California,USA,33.153977,-117.322796,,,,Carlsbad,tamarack,"Tamarack (Carlsbad), Carlsbad, USA"
Topanga,California,USA,34.081241,-118.596909,,,,,topanga,"Topanga, Topanga, USA"
Venice Breakwater,California,USA,33.987703,-118.472278,,,,,venice-breakwater,"Venice Breakwater, Venice, USA"
Zuma Beach,California,USA,34.036880,-118.685610,,,,,zuma-beach,"Zuma Beach, Malibu, USA"
