spot_id,beach_name,region,cam_name,owner,source_type,page_url,platform_url,embed_policy,credit_text,notes
ffc0dcae-83d7-4b90-ade3-03c14e789088,Agate Beach,OR,Starfish Point — Agate Beach Live Webcam,Starfish Point (Newport),hotel,https://www.starfishpoint.com/webcam.php,,link-only,"Camera by Starfish Point, Newport.",Owner page; often links Surfline.
ffc0dcae-83d7-4b90-ade3-03c14e789088,Agate Beach,OR,Agate Beach Motel — Live Web Cam,Agate Beach Motel,hotel,https://www.agatebeachmotel.com/,,link-only,Camera by Agate Beach Motel.,Owner page.
3c8f272b-473a-4303-83b7-3081579a042b,Bandon,OR,Port of Bandon — Coquille River Bar Cam,Port of Bandon,municipal,https://www.portofbandon.com/coquille-river-bar-cam,,link-only,Camera by Port of Bandon.,Bar/river mouth vantage.
3c8f272b-473a-4303-83b7-3081579a042b,Bandon,OR,Bandon.TV — Local Webcam,Bandon.TV,community,https://www.bandon.tv/,,unknown,Camera by Bandon.TV.,Community cam; check terms.
c62b7ad4-8deb-4275-889d-b0eb8ec7c5f0,Brookings (Harris Beach),OR,Port of Brookings Harbor — Chetco River Bar Camera,Port of Brookings Harbor,municipal,https://www.portofbrookingsharbor.com/chetco-river-bar-camera.html,,link-only,Camera by Port of Brookings Harbor.,Bar/harbor vantage.
b2286d82-0f40-45db-b4d1-3774950f6632,Cannon Beach (Ecola/Indian),OR,Cannon Beach Conference Center — Beachfront Lodge Cam,Cannon Beach Conference Center,owner-page,https://cbccstaff.net/whats-new/webcam/,,link-only,Camera by Cannon Beach Conference Center.,Owner page.
b2286d82-0f40-45db-b4d1-3774950f6632,Cannon Beach (Ecola/Indian),OR,Tolovana Inn — Beach Webcam (site),Tolovana Inn,hotel,https://www.tolovanainn.com/,,link-only,Camera by Tolovana Inn.,Check site for webcam link.
80efa1c0-37a2-4879-819b-647ae3c3d749,Cardiff Reef,California,Cardiff Reef — Hansen Surf Cams,Hansen Surfboards,retail,https://www.hansensurf.com/pages/live-surf-cams-cardiff-reef-san-diego,,unknown,Camera by Hansen Surfboards.,Retailer cam; verify embed terms.
a57ae4c8-7a27-4d3f-91d5-6229350fb888,Doheny,California,Dana Point Harbor – Laguna Cliffs Resort Live Webcam,Laguna Cliffs Resort & Spa / HDOnTap,hdontap,https://hdontap.com/stream/994481/dana-point-harbor-laguna-cliffs-resort-live-webcam/,,licensed-widget,Camera by Laguna Cliffs Resort & HDOnTap.,Harbor/Doheny vicinity.
902a215b-2a3d-40af-9391-16b0afed7dee,D Street,California,Moonlight Beach Live Cam (D‑St area),Moonlight Beach Rental,owner-page,https://moonlightbeachrental.com/moonlightbeachwebcam,,link-only,Camera by Moonlight Beach Rental.,Covers Moonlight/D‑St area.
52879e4f-fc7f-4c02-a5e3-ea40b992ea80,El Porto (Manhattan),California,El Porto – HDOnTap Live Cam,HDOnTap (partner),hdontap,https://hdontap.com/stream/256987/el-porto-manhattan-beach-live-webcam/,,licensed-widget,Camera by partner & HDOnTap.,Multiple El Porto vantage points.
2b401051-cdbf-41a9-ac30-e636c33a42ef,Florence South Jetty,OR,Driftwood Shores — Live Webcam,Driftwood Shores Resort & Conference Center,hotel,https://www.driftwoodshores.com/live-webcam/,,link-only,Camera by Driftwood Shores Resort.,Oceanfront overview.
8d4afe79-ac68-4508-84d5-9175282a3f2c,Gold Beach (South Jetty),OR,Jot's Resort — Rogue River/Gold Beach Webcam,Jot's Resort,hotel,https://www.jotsresort.com/,,link-only,Camera by Jot's Resort.,River mouth/coastal views.
b4202dc4-e308-4dc2-9844-665413a75cb1,Hanalei Bay (Kauai),Hawaii,Hanalei Bay Resort — Live Web Camera,Hanalei Bay Resort,hotel,https://www.hanaleibayresort.com/live-web-camera/,,link-only,Camera by Hanalei Bay Resort.,Owner page.
71fa4843-1235-4f11-9184-fe1c87e8fbc5,Hanalei (Wainiha) — Colony Resort,Hawaii,Hanalei Colony Resort — Live Kaua‘i Beach Cam,Hanalei Colony Resort,hotel,https://www.hcr.com/webcam,,link-only,Camera by Hanalei Colony Resort.,Owner page.
1ac4f5f1-94a1-4347-b4ca-6c9d62aee5d3,Hapuna Beach (Kohala),Hawaii,Westin Hapuna Beach — Live Cam (Ozolio),The Westin Hapuna Beach Resort (Marriott),owner-page,https://marriott.ozolio.com/westin-hapuna-beach-resort/,,link-only,Camera by Westin Hapuna Beach Resort.,Ozolio player; ask to embed.
37ffa92a-d811-4791-afbb-b90a86dcdf49,Hermosa Pier,California,Hermosa Pier North – HDOnTap,HDOnTap (partner),hdontap,https://hdontap.com/stream/567567/hermosa-beach-pier-north-live-webcam/,,licensed-widget,Camera by partner & HDOnTap.,Pier north view.
37ffa92a-d811-4791-afbb-b90a86dcdf49,Hermosa Pier,California,Good Stuff Strand Cam (YouTube),Good Stuff Restaurants,youtube,https://eatgoodstuff.com/strandcam/,https://www.youtube.com/watch?v=yJgfAV8lXyI,platform-allowed,Camera by Good Stuff Restaurants.,YouTube live; embeddable if allowed.
387c8c1c-d6e3-494e-96d9-e5b025aa995b,Humbug Mountain (Port Orford),OR,OSU Port Orford Field Station — Webcam & Sea Conditions,Oregon State University,university,https://research.oregonstate.edu/port-orford/webcam-and-sea-conditions,,link-only,Camera by OSU Port Orford Field Station.,University page.
071db1df-b5ee-4af6-a022-ea8a09667cbe,Huntington Beach Pier,California,City Pier Webcam,City of Huntington Beach,municipal,https://www.huntingtonbeachca.gov/departments/parks_recreation/beach_information/city_pier_webcam.php,,link-only,Camera by City of Huntington Beach.,Official municipal cam.
071db1df-b5ee-4af6-a022-ea8a09667cbe,Huntington Beach Pier,California,HBcams – Huntington Beach Overview/Pier,HBcams,community,https://hbcams.com/,,unknown,Camera by HBcams.,Community network; many angles.
9e94759c-d531-4e5c-9bc2-d022acea9dcd,Imperial Beach,California,City/roundups — Imperial Beach Cams,LiveBeaches directory,roundup,https://www.livebeaches.com/city/imperial-beach-ca/,,link-only,Credit each camera owner per link.,Directory; check owner terms.
d291411d-d331-4bf1-ad1a-302da3c69de0,La Jolla Shores,California,La Jolla Shores Hotel — Beach Cam,La Jolla Shores Hotel,hotel,https://www.ljshoreshotel.com/beach-cam/,,link-only,Camera by La Jolla Shores Hotel.,Hotel-operated cam.
d291411d-d331-4bf1-ad1a-302da3c69de0,La Jolla Shores,California,Scripps Pier Cam (CoolLab),Scripps Institution of Oceanography (UCSD),university,https://scripps.ucsd.edu/piercam,,link-only,Camera by SIO/UCSD.,University page; typically link-back.
d291411d-d331-4bf1-ad1a-302da3c69de0,La Jolla Shores,California,La Jolla Shores Overlook (HDOnTap),HDOnTap (partner property),hdontap,https://hdontap.com/stream/449923/la-jolla-shores-overlook-live-webcam/,,licensed-widget,Camera by property & HDOnTap.,Overlook incl. Scripps.
058c415c-39da-41bb-aee9-c4942d79e95d,La Push — First Beach,WA,First Beach Webcam (Forks Chamber + Quileute Nation),Forks Chamber / Quileute Nation,municipal,https://forkswa.com/plan-your-visit/webcams/first-beach-at-la-push-webcam/,,link-only,Camera by Forks Chamber & Quileute Nation.,Official owner page.
839bab65-0ae4-443e-94a5-0d5bb4b4a5a8,Long Beach (Boardwalk),WA,Evergreen Coast — Boardwalk Cam,Long Beach Peninsula VCB,tourism-board,https://www.evergreencoastwa.com/,,link-only,Camera by Long Beach Peninsula VCB.,Boardwalk pavilion cam.
9841bdd0-e70f-4c10-bc54-135575006298,Malibu First Point (Surfrider),California,Malibu Beach Inn — Beach Cam,Malibu Beach Inn,hotel,https://www.malibubeachinn.com/beachcam/,,link-only,Camera by Malibu Beach Inn.,Hotel-operated.
9841bdd0-e70f-4c10-bc54-135575006298,Malibu First Point (Surfrider),California,Malibu Pier Live Webcam (HDOnTap),HDOnTap (partner),hdontap,https://hdontap.com/stream/204757/malibu-pier-live-webcam/,,licensed-widget,Camera by partner & HDOnTap.,Pier orientation with Malibu Point.
c02b4ede-69d9-440e-b8de-22ea4bde10ef,Mission Beach,California,Mission Beach & Crystal Pier – HDOnTap,HDOnTap (partner),hdontap,https://hdontap.com/stream/475932/mission-beach-and-crystal-pier-live-cam/,,licensed-widget,Camera by partner & HDOnTap.,Boardwalk + Pier views.
c02b4ede-69d9-440e-b8de-22ea4bde10ef,Mission Beach,California,North Mission Beach Boardwalk Cam,MissionBeachBoardwalk.com,owner-page,https://missionbeachboardwalk.com/?page_id=19,,link-only,Camera by oceanfrontphotos.com.,Boardwalk-oriented view.
53cc78d5-a759-4153-8a2e-b13cf1bb6b4e,Newport 56th St,California,Newport Beach Surfcams — 56th St,SurfOutlook,community,https://www.surfoutlook.com/surfcam/orangecounty/newport-beach,,unknown,Camera by SurfOutlook.,Has 56th among others.
15c7337e-5258-4339-9dc3-c435c666926b,Ocean Beach,"San Diego, CA",OB Beach Cam (HD Relay),Ocean Beach MainStreet Assoc. / HD Relay,community,https://oceanbeachsandiego.com/media/ob-beach-cam,,licensed-widget,Camera by OB MainStreet Assoc. & HD Relay.,Community cam.
15c7337e-5258-4339-9dc3-c435c666926b,Ocean Beach,"San Diego, CA",Ocean Beach Hotel — Beach Cam,Ocean Beach Hotel,hotel,https://www.obhotel.com/Webcam-Oceanbeach.php,,link-only,Camera by Ocean Beach Hotel.,Owner page; request embed if needed.
04ab6e6a-477f-49ab-b435-6b201134bcbf,Ocean Shores,WA,Canterbury Inn — Beach Cam,Canterbury Inn Ocean Shores,hotel,https://www.canterburyinn.com/beach-cam,,link-only,Camera by Canterbury Inn.,Owner page.
60b6bb17-dc08-4f18-8241-33729bcbc742,Ocean Shores / North Beaches,WA,OceanShores.com — Webcams Directory,OceanShores.com,roundup,https://oceanshores.com/cameras,,link-only,Credit each camera owner per link.,Directory of local webcams.
cf59e55d-f146-4a72-8daf-5781a0693d13,Pacific City (Cape Kiwanda),OR,Pelican Brewing — Pacific City Live Webcam,Pelican Brewing Company,owner-page,https://pelicanbrewing.com/webcam/,,link-only,Camera by Pelican Brewing (Pacific City).,Haystack Rock / Cape Kiwanda view.
cf59e55d-f146-4a72-8daf-5781a0693d13,Pacific City (Cape Kiwanda),OR,PacificCity.org — Chamber Beach Webcam,Pacific City / Nestucca Valley Chamber,tourism-board,https://webcam.pacificcity.org/,,link-only,Camera by PC/Nestucca Valley Chamber.,Tourism board page.
231d8635-6ae1-40e5-9112-88c26b0918ac,Poipu Beach (Kauai),Hawaii,Parrish Collection — Poipu (EarthCam),The Parrish Collection Kaua‘i,earthcam,https://www.parrishkauai.com/kauai-webcam/,https://www.earthcam.com/usa/hawaii/kauai/,licensed-widget,Camera by The Parrish Collection / EarthCam.,Use EarthCam widget/API.
5079a9ab-8d43-433e-99ea-20d3667dd0a8,Seabrook (Pacific Beach area),WA,Seabrook WA — Live Weather Cam (YouTube),Seabrook Washington,youtube,https://www.seabrookwa.com/live-weather-cam/,https://www.youtube.com/@SeabrookWA/streams,platform-allowed,Camera by Seabrook Washington.,Embed if YT allows.
4055099a-2e07-4a84-b17a-47a401ff749c,Seaside Cove,OR,Lanai at the Cove — Live Webcam,Lanai at the Cove,hotel,https://seasidelanai.com/,,link-only,Camera by Lanai at the Cove.,Owner page.
4055099a-2e07-4a84-b17a-47a401ff749c,Seaside Cove,OR,Seaside Aquarium — Beach Cam,Seaside Aquarium,owner-page,https://seasideaquarium.com/,,link-only,Camera by Seaside Aquarium.,Owner page.
2c2dea98-280b-488c-9d46-ffed8226447b,Short Sands (Oswald West),OR,Ocean Inn at Manzanita — Beach Webcam (nearby),Ocean Inn at Manzanita,hotel,https://www.oceaninnatmanzanita.com/oregon-coast-webcam/,,link-only,Camera by Ocean Inn at Manzanita.,Closest public owner cam; may require login.
880748ee-5423-4b2e-a5c3-b2faab5c4a7a,Waikiki (Aquarium),Hawaii,Waikīkī Aquarium — South Shore Surf Cam (YouTube),Waikīkī Aquarium,youtube,https://www.waikikiaquarium.org/experience/virtual/webcam/,https://www.youtube.com/live/6tHEWDnxj2Y,platform-allowed,Camera by Waikīkī Aquarium.,Embed if YT allows.
