feature,importance
delta_noaa_om,0.1754754
wind_wave_height_om,0.105095096
height_ratio_noaa_om,0.093125455
swell_direction_om_sin,0.07533766
noaa_steepness,0.051112454
abs_delta_noaa_om,0.044419754
direction_agreement,0.04363566
wave_direction_om_sin,0.03751592
swell_direction_om_cos,0.036940206
wave_direction_om_cos,0.03643568
om_period_sq,0.035257425
wind_wave_ratio,0.03465513
swell_dominance_om,0.033533506
om_steepness,0.028332787
swell_period_om,0.026516285
forecast_height_m,0.024673378
wave_height_om,0.02404391
wave_period_om,0.022642411
swell_height_om,0.022303414
wind_speed_ms,0.019139258
hour_sin,0.018906659
hour_cos,0.009566088
models_agree,0.0013364408
forecast_period_s,0.0
wind_missing,0.0
month_cos,0.0
month_sin,0.0
forecast_dir_deg_cos,0.0
noaa_period_sq,0.0
forecast_dir_deg_sin,0.0
wind_dir_deg_sin,0.0
wind_dir_deg_cos,0.0
om_missing,0.0
