# Quiver monthly buoy statistics for Honolulu. Method buoy-v1, generated 2026-09-26.
# Heights are buoy significant wave height in feet, not surf height at the beach.
# waves: Pearl Harbor Entrance (NDBC 51211, CDIP 233), 2017-2025, gate passed. https://www.ndbc.noaa.gov/station_page.php?station=51211
month,station_id,role,hs_median_ft,hs_p25_ft,hs_p75_ft,hs_p90_ft,small_day_share,big_day_share,period_under8_share,period_8to10_share,period_10plus_share,dir_n_share,dir_ne_share,dir_e_share,dir_se_share,dir_s_share,dir_sw_share,dir_w_share,dir_nw_share,days_3ft_n_share,days_3ft_ne_share,days_3ft_e_share,days_3ft_se_share,days_3ft_s_share,days_3ft_sw_share,days_3ft_w_share,days_3ft_nw_share,water_median_f,water_p10_f,water_p90_f,clean_morning_share,buoy_score_v1
1,51211,waves,2.5,2,3.1,3.7,0.26,0.01,0.5,0.31,0.2,0,0,0,0.49,0.48,0.02,0,0,0,0,0,0.17,0.08,0.02,0,0,77,76,78,,60
2,51211,waves,2.5,1.8,3.4,4.1,0.29,0.01,0.45,0.26,0.29,0,0,0,0.6,0.39,0.01,0,0,0,0,0,0.31,0.03,0,0,0,76,75,77,,61
3,51211,waves,2.8,2.2,3.4,4,0.16,0.01,0.46,0.22,0.32,0,0,0,0.57,0.41,0.01,0,0,0,0,0,0.34,0.07,0.01,0,0,76,74,78,,69
4,51211,waves,2.8,2.3,3.3,3.9,0.08,0.01,0.41,0.14,0.45,0,0,0,0.52,0.48,0,0,0,0,0,0,0.28,0.1,0,0,0,77,76,78,,78
5,51211,waves,2.9,2.5,3.3,3.9,0.03,0,0.3,0.05,0.64,0,0,0,0.38,0.62,0,0,0,0,0,0,0.17,0.24,0,0,0,78,77,79,,87
6,51211,waves,3,2.7,3.4,3.8,0.01,0,0.29,0.06,0.65,0,0,0,0.42,0.58,0,0,0,0,0,0,0.21,0.33,0,0,0,79,78,80,,87
7,51211,waves,3.1,2.8,3.5,3.9,0.01,0,0.34,0.16,0.49,0,0,0,0.56,0.44,0,0,0,0,0,0,0.36,0.2,0,0,0,80,79,82,,82
8,51211,waves,3,2.6,3.4,3.8,0.01,0.01,0.26,0.17,0.58,0,0,0,0.46,0.54,0,0,0,0,0,0,0.24,0.25,0,0,0,81,80,82,,85
9,51211,waves,3,2.6,3.3,3.7,0.03,0,0.27,0.16,0.57,0,0,0,0.44,0.56,0,0,0,0,0,0,0.24,0.23,0,0,0,81,80,82,,84
10,51211,waves,2.7,2.3,3.1,3.5,0.09,0,0.26,0.15,0.59,0,0,0,0.33,0.67,0,0,0,0,0,0,0.14,0.15,0,0,0,81,80,82,,81
11,51211,waves,2.6,2.1,3.2,3.7,0.18,0,0.45,0.22,0.33,0,0,0,0.57,0.42,0,0,0,0,0,0,0.28,0.04,0,0,0,80,78,82,,68
12,51211,waves,2.7,2.1,3.2,3.8,0.19,0.01,0.49,0.33,0.19,0,0,0,0.59,0.4,0.01,0,0,0,0,0,0.25,0.06,0,0,0,78,77,79,,64
