name,region,lat,lng,cam_name,owner,source_type,page_url,platform_url,embed_policy,credit_text,notes
Doheny,California,33.466426,-117.702231,Dana Point Harbor – Laguna Cliffs Resort Live Webcam,Laguna Cliffs Resort & Spa / HDOnTap,hdontap,https://hdontap.com/stream/994481/dana-point-harbor-laguna-cliffs-resort-live-webcam/,,licensed-widget,Camera by Laguna Cliffs Resort & HDOnTap.,Covers harbor near Doheny.
Huntington Beach Pier,California,33.657168,-118.002005,City Pier Webcam,City of Huntington Beach,municipal,https://www.huntingtonbeachca.gov/departments/parks_recreation/beach_information/city_pier_webcam.php,,link-only,Camera by City of Huntington Beach.,Municipal page; embedding may require permission.
Huntington Beach Pier,California,33.657168,-118.002005,HBcams – Huntington Beach Overview / Pier,HBcams,community,https://hbcams.com/,,unknown,Camera by HBcams.,Multiple views incl. pier; streams often on YT/Pixelcaster.
La Jolla Shores,California,32.853416,-117.25381,La Jolla Shores Hotel – Beach Cam,La Jolla Shores Hotel,hotel,https://www.ljshoreshotel.com/beach-cam/,,link-only,Camera by La Jolla Shores Hotel.,Hotel-operated cam; some feeds via HDOnTap.
La Jolla Shores,California,32.853416,-117.25381,Scripps Pier Cam (Pier Cams / CoolLab),Scripps Institution of Oceanography (UCSD),university,https://scripps.ucsd.edu/piercam,,ask-permission,"Camera by Scripps Institution of Oceanography, UC San Diego.",University page; likely link-back unless permission.
La Jolla Shores,California,32.853416,-117.25381,La Jolla Shores Overlook,HDOnTap (partner property),hdontap,https://hdontap.com/stream/449923/la-jolla-shores-overlook-live-webcam/,,licensed-widget,Camera by property + HDOnTap.,Overlook orientation incl. Scripps.
La Jolla Shores,California,32.853416,-117.25381,The Marine Room – La Jolla Beach Cam,The Marine Room,restaurant,https://www.marineroom.com/beach-cam/,,link-only,Camera by The Marine Room.,Restaurant-operated shoreline cam.
Malibu First Point (Surfrider),California,34.016533,-118.81915,Malibu Beach Inn – Beach Cam,Malibu Beach Inn,hotel,https://www.malibubeachinn.com/beachcam/,,link-only,Camera by Malibu Beach Inn.,Hotel-operated cam near Surfrider.
Malibu First Point (Surfrider),California,34.016533,-118.81915,Malibu Pier Live Webcam,HDOnTap (partner),hdontap,https://hdontap.com/stream/204757/malibu-pier-live-webcam/,,licensed-widget,Camera by partner + HDOnTap.,Pier orientation with Malibu Point in view.
Malibu First Point (Surfrider),California,34.016533,-118.81915,Swellmagnet – Malibu Surf Cam,Swellmagnet,community,https://swellmagnet.com/surf-cams/malibu-surf-cam-and-report/,,unknown,Camera by Swellmagnet.,Third‑party surf cam; check terms for embedding.
Old Man's (SanO),California,33.381824,-117.57506,San Onofre State Beach (Surfline partner link),California State Parks (via Surfline),municipal,https://www.parks.ca.gov/sanonofre,,link-only,State Parks via Surfline.,Public partner link; embedding Surfline not allowed.
Tourmaline,California,32.804,-117.259,North Pacific Beach (Tourmaline area) – SurfOutlook,SurfOutlook,community,https://www.surfoutlook.com/surfcam/sandiego/pacific-beach-north,,unknown,Camera by SurfOutlook.,Covers north PB near Tourmaline.
Blacks,California,32.887,-117.252,Blacks Beach – SurfOutlook,SurfOutlook,community,https://www.surfoutlook.com/surfcam/sandiego/blacks-beach,,unknown,Camera by SurfOutlook.,Long-range view from gliderport area.
Cardiff Reef,California,33.0205,-117.283,Cardiff Reef – Hansen Surf Cams,Hansen Surfboards,retail,https://www.hansensurf.com/pages/live-surf-cams-cardiff-reef-san-diego,,unknown,Camera by Hansen Surfboards.,Retailer-operated cam; check embed terms.
D Street,California,33.046,-117.293,Moonlight Beach Live Cam (D-St area),Moonlight Beach Rental,owner-page,https://moonlightbeachrental.com/moonlightbeachwebcam,,link-only,Camera by Moonlight Beach Rental.,Pan view incl. D‑Street area.
